Fiber,pCa,Act_percent,M_length,sarc_length,M_area,ISI,ISI_code,Cond_Amp,CA_code,SRS,SRS_UC,Impulse,Impulse_UC,back_L,back_F,backFpercentUC,F_tZero,SRS_CO,SRS_CO_UC,Impulse_CO,Impulse_CO_UC
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.316,d316,0.38,b38,4806504.006,94.89036156,14709366,103.9199863,0.000429877,112837.6477,104.0100531,112594.0236,4787810.137,94.52130581,14728523.6,104.0553326
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,0.316,d316,1.21,c121,4506525.942,88.96817218,14325707.09,101.2094801,0.000429678,113371.1876,104.5018527,108589.4916,4462082.88,88.09077394,14569061.69,102.9287524
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,1,e1000,0.12,a12,4787222.618,94.50970696,14494304.91,102.4006043,0.000430194,111965.8755,103.206482,110919.9074,4797511.388,94.71282863,14518089.4,102.5686391
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,1,e1000,0.38,b38,4795757.69,94.67820699,14445597.32,102.0564908,0.000429808,111288.1531,102.5817796,110600.6214,4795757.69,94.67820699,14445597.32,102.0564908
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,1,e1000,1.21,c121,4785794.491,94.48151276,14304020.46,101.0562665,0.000429906,109857.4634,101.2630167,109776.0916,4785794.491,94.48151276,14304020.46,101.0562665
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,3.162,f3162,0.12,a12,4669214.827,92.17998832,14136446.71,99.87237716,0.000429887,109186.5016,100.644546,107911.022,4658328.693,91.96507346,14159932.59,100.0383022
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,3.162,f3162,0.38,b38,4637078.568,91.54555189,14022193.77,99.06519326,0.000429715,109582.5153,101.0095785,106889.3953,4637078.568,91.54555189,14022193.77,99.06519326
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,3.162,f3162,1.21,c121,4652673.39,91.85342603,13884775.02,98.09434546,0.000429982,107334.663,98.93758174,106155.714,4652673.39,91.85342603,13884775.02,98.09434546
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,10,g10000,0.12,a12,4358406.276,86.04398266,13780172.7,97.35534205,0.000429757,106008.0054,97.71471219,104921.5257,4358406.276,86.04398266,13780172.7,97.35534205
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,10,g10000,0.38,b38,4608516.671,90.98168078,13640067.28,96.36551333,0.000429936,104760.1034,96.56443688,104083.6969,4608516.671,90.98168078,13640067.28,96.36551333
12Dec2017a,6,26.82772219,0.0004299,2.62E-06,8.25E-10,10,g10000,1.21,c121,4582113.337,90.46042419,13624981.83,96.25893637,0.000430081,103430.104,95.33848698,104098.6495,4582113.337,90.46042419,13624981.83,96.25893637
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,0.001,a1,3.83,f383,59827.94381,61.99254607,234337.1407,85.71167607,0.000656756,1968.426972,97.46829363,1524.308167,40846.39844,42.32423974,256839.2594,93.9421013
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,0.001,a1,0,zero,96508.28623,100,273401.6547,100,0.000656568,2019.556205,100,2049.581037,96508.28623,100,273401.6547,100
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,0.001,a1,0.12,a12,75213.46822,77.93472577,270061.329,98.77823502,0.000656823,2021.007897,100.0718817,2058.795676,75213.46822,77.93472577,270061.329,98.77823502
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,0.001,a1,0.38,b38,90750.26595,94.03365192,276791.9823,101.2400538,0.000656535,2036.742523,100.8509948,2220.709153,102365.6079,106.0692422,276444.7053,101.113033
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,0.001,a1,1.21,c121,92199.4135,95.53523029,260682.7135,95.34789167,0.000656494,1944.817819,96.29926683,1847.891676,75229.18228,77.95100837,272654.8753,99.7268563
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,0.1,c100,3.83,f383,75943.01316,78.69066597,247728.9753,90.60990342,0.000656477,1961.512456,97.12591564,1783.738728,80606.95463,83.52335097,257743.7475,94.27292889
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,0.316,d316,3.83,f383,69984.45801,72.51652759,259038.7834,94.74660408,0.000656647,1994.559239,98.76225448,2000.025729,69984.45801,72.51652759,259038.7834,94.74660408
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,1,e1000,3.83,f383,79840.05148,82.72870092,276180.4964,101.0163953,0.000656673,2118.43984,104.8963052,2099.903787,79840.05148,82.72870092,276180.4964,101.0163953
13Dec2017a,9,0.853855271,0.0006566,2.57E-06,1.82E-09,3.162,f3162,3.83,f383,98294.94406,101.8512999,270013.6771,98.76080573,0.000656969,2059.396202,101.9727105,2035.151506,98294.94406,101.8512999,270013.6771,98.76080573
